player_name,game_date,season,pitch_type,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Cole, Gerrit",2019-04-09,2019,SL,7,53,2,88.2,2574,0.48,0.38,6,0,1
"Cole, Gerrit",2019-04-09,2019,FF,7,53,1,95.1,2547,-1.05,1.55,6,0,0
"Cole, Gerrit",2019-04-09,2019,KC,7,52,3,81.2,2747,0.93,-1.19,5.4,2,0
"Cole, Gerrit",2019-04-09,2019,FF,7,52,2,95.9,2459,-1.09,1.55,5.8,1,0
"Cole, Gerrit",2019-04-09,2019,FF,7,52,1,95.2,2452,-0.98,1.56,6.5,0,0
"Cole, Gerrit",2019-04-09,2019,FF,6,47,9,99,2609,-0.82,1.49,6.5,2,2
"Cole, Gerrit",2019-04-09,2019,CH,6,47,8,88.7,1494,-1.34,0.64,6.5,2,2
"Cole, Gerrit",2019-04-09,2019,KC,6,47,7,84,3048,0.82,-1.36,6,2,2
"Cole, Gerrit",2019-04-09,2019,FF,6,47,6,98,2542,-0.96,1.25,6.3,2,2
"Cole, Gerrit",2019-04-09,2019,SL,6,47,5,89.4,2661,0.28,0.34,6,2,2
"Cole, Gerrit",2019-04-09,2019,SL,6,47,4,91,2740,0.55,0.46,5.9,2,1
"Cole, Gerrit",2019-04-09,2019,FF,6,47,3,97.5,2550,-0.99,1.64,6.6,1,1
"Cole, Gerrit",2019-04-09,2019,FF,6,47,2,97.9,2629,-1.09,1.5,6.3,0,1
"Cole, Gerrit",2019-04-09,2019,FF,6,47,1,97.3,2550,-0.9,1.45,6.2,0,0
"Cole, Gerrit",2019-04-09,2019,FF,6,46,5,98.2,2547,-1.08,1.38,6.2,1,2
"Cole, Gerrit",2019-04-09,2019,KC,6,46,4,83,2906,1.23,-1.17,5.6,1,2
"Cole, Gerrit",2019-04-09,2019,FF,6,46,3,98.3,2543,-0.87,1.34,6.3,1,1
"Cole, Gerrit",2019-04-09,2019,SL,6,46,2,88.5,NA,0.49,0.13,6.3,0,1
"Cole, Gerrit",2019-04-09,2019,FF,6,46,1,97.3,2581,-1.23,1.39,6.5,0,0
"Cole, Gerrit",2019-04-09,2019,SL,6,45,4,90.6,2694,0.43,0.32,5.8,2,1
"Cole, Gerrit",2019-04-09,2019,KC,6,45,3,82,2912,1.38,-1.07,5.5,1,1
"Cole, Gerrit",2019-04-09,2019,FF,6,45,2,97.1,2592,-1.18,1.5,6.2,1,0
"Cole, Gerrit",2019-04-09,2019,FF,6,45,1,98.2,2671,-1.23,1.52,6.3,0,0
"Cole, Gerrit",2019-04-09,2019,SL,6,44,1,90.4,2659,0.33,0.46,5.9,0,0
"Cole, Gerrit",2019-04-09,2019,SL,6,43,6,89.1,2670,0.48,0.4,6.1,3,2
"Cole, Gerrit",2019-04-09,2019,SL,6,43,5,88,2431,0.48,0.37,6.1,2,2
"Cole, Gerrit",2019-04-09,2019,SL,6,43,4,88.5,2501,0.5,0.2,6.1,1,2
"Cole, Gerrit",2019-04-09,2019,SL,6,43,3,89.6,2497,0.37,0.48,6.4,1,1
"Cole, Gerrit",2019-04-09,2019,FF,6,43,2,98.5,2466,-0.71,1.52,6.1,0,1
"Cole, Gerrit",2019-04-09,2019,SL,6,43,1,89.4,2499,0.35,0.49,6.3,0,0
"Cole, Gerrit",2019-04-09,2019,FF,6,42,4,96.8,2473,-0.85,1.55,6.5,3,0
"Cole, Gerrit",2019-04-09,2019,FF,6,42,3,95.5,2442,-1.07,1.38,6.2,2,0
"Cole, Gerrit",2019-04-09,2019,FF,6,42,2,96.1,2554,-1.12,1.33,6.5,1,0
"Cole, Gerrit",2019-04-09,2019,FF,6,42,1,96.9,2486,-1.07,1.48,6.4,0,0
"Cole, Gerrit",2019-04-09,2019,SL,5,36,5,88.3,2641,0.44,-0.03,5.8,2,2
"Cole, Gerrit",2019-04-09,2019,FF,5,36,4,97.4,2499,-0.93,1.42,6.5,2,1
"Cole, Gerrit",2019-04-09,2019,SI,5,36,3,98.2,2467,-1.2,1.23,6.6,1,1
"Cole, Gerrit",2019-04-09,2019,FF,5,36,2,96.7,2667,-1.13,1.55,6.3,1,0
"Cole, Gerrit",2019-04-09,2019,FF,5,36,1,96.3,2642,-1.01,1.56,6.2,0,0
"Cole, Gerrit",2019-04-09,2019,,5,35,3,NA,NA,NA,NA,NA,0,2
